OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_19334	0.1144	0.4488	-5.527	AAUR,APUR,AVIR,LFIG,LLEU,LMAL,LMAR,LPAU
OG_14258	0.1144	0.4488	0.2102	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15402	0.1145	0.4488	0.9276	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11335	0.1146	0.4488	4.092	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15513	0.1146	0.4488	2.808	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13364	0.1146	0.4488	14.69	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13357	0.115	0.4498	-17.07	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13863	0.1151	0.4498	2.054	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17633	0.1152	0.4498	16.45	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10963	0.1153	0.4498	-40.41	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15823	0.1153	0.4498	1.35	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11784	0.1153	0.4498	-2.259	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13679	0.1153	0.4498	-89.53	AAUR,APUR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10821	0.1154	0.4498	-5.739	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
