OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_17282	0.006598	0.3854	-35.82	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10940	0.006607	0.3854	-1.971	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15677	0.006641	0.3854	23.13	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12742	0.006688	0.3854	-11.94	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15420	0.00673	0.3854	4.559	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16879	0.006746	0.3854	6.621	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11310	0.006771	0.3854	-13.77	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12296	0.006795	0.3854	2.412	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14587	0.006865	0.3854	-30.58	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16630	0.006868	0.3854	29.67	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11309	0.006871	0.3854	1.163	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11112	0.006875	0.3854	6.527	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17650	0.006918	0.3854	22.05	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18119	0.006962	0.3854	105.6	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17132	0.00702	0.3854	-32.1	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16447	0.007083	0.3854	15.06	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14820	0.007091	0.3854	18.27	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11622	0.007222	0.3898	36.02	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13377	0.007286	0.3898	18.52	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_19231	0.007322	0.3898	24.61	AAUR,APUR,AVIR,HLIG,LFIG,LMAR,LPAU,LVIE
OG_17438	0.007373	0.3898	3.838	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_12952	0.007438	0.3906	-2.782	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15286	0.007596	0.394	17.31	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16827	0.007605	0.394	20.93	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16870	0.007804	0.3993	5.579	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11262	0.007815	0.3993	-45.68	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12271	0.007862	0.3993	-8.374	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16213	0.007943	0.4008	-15.18	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14353	0.008143	0.4065	-19.68	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18140	0.008163	0.4065	358.7	AAUR,APUR,AVIR,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16692	0.008263	0.4079	24.86	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15965	0.008297	0.4079	3.913	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11463	0.008466	0.4122	28.62	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15628	0.008551	0.4122	8.867	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15189	0.008595	0.4122	3.808	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17894	0.008662	0.4122	-56.13	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16128	0.00877	0.4122	22.33	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13773	0.008779	0.4122	6.237	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14262	0.00881	0.4122	-10.52	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10293	0.008897	0.4122	30	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14708	0.008928	0.4122	-4.697	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16845	0.008954	0.4122	75.46	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14792	0.008972	0.4122	-45.44	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17973	0.00929	0.423	1.666	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11268	0.009378	0.423	-3.099	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18061	0.0094	0.423	-68.4	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18440	0.009425	0.423	-12.43	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10777	0.009551	0.4231	-7.491	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17484	0.009725	0.4231	54.25	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU
OG_10890	0.009785	0.4231	7.095	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14889	0.009855	0.4231	-6.159	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15328	0.00988	0.4231	3.462	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16457	0.009933	0.4231	-7.475	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12779	0.009934	0.4231	-13.27	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18283	0.01024	0.4231	-13.18	AAUR,APUR,AVIR,HLIG,LLEU,LMAR,LPAU,LVIE
OG_17482	0.01027	0.4231	-3.601	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15143	0.0103	0.4231	1.711	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15528	0.01031	0.4231	2.686	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13184	0.01059	0.4231	5.66	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17957	0.01061	0.4231	3.543	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15356	0.01066	0.4231	-3.716	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16864	0.01066	0.4231	2.516	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14393	0.01071	0.4231	361.2	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13156	0.01083	0.4231	19.74	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15783	0.01084	0.4231	19.32	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16753	0.01085	0.4231	-2.313	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17454	0.01086	0.4231	-2.045	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14188	0.01086	0.4231	13.37	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17501	0.01092	0.4231	33.12	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10101	0.01102	0.4231	-38.28	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11725	0.01109	0.4231	22.62	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13926	0.01125	0.4231	-71.63	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15124	0.01125	0.4231	7.687	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10602	0.01126	0.4231	6.707	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17395	0.01134	0.4231	-2.492	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10859	0.01148	0.4231	-43.1	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10300	0.0115	0.4231	-5.871	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14540	0.01154	0.4231	-23.17	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17147	0.01159	0.4231	15.55	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15943	0.01166	0.4231	-5.997	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13869	0.01167	0.4231	-11.78	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12264	0.01167	0.4231	9.581	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14584	0.01171	0.4231	5.099	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12857	0.01172	0.4231	14.06	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17442	0.01181	0.4231	-2.568	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14984	0.01182	0.4231	-65.47	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16210	0.01182	0.4231	7.596	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16126	0.01183	0.4231	-1.743	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15387	0.01184	0.4231	2.987	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12169	0.01186	0.4231	12.36	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12301	0.01189	0.4231	-11.97	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17356	0.01202	0.4231	6.086	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU
